id_nutrition_log,log_date,meal_type,water_intake_ml,id_user,id_food,food_item,category,calories_kcal,protein_g,carbohydrates_g,fat_g
254,2026-02-23,Dinner,0,,254,Shredded Cheese (Cheddar 1/4 cup),Dairy,115.0,7.0,1.0,9.5
255,2026-02-23,Snack,355,,255,Matcha Latte (12 oz),Beverage,180.0,6.0,28.0,5.0
256,2026-02-23,Breakfast,0,,256,Chocolate Donut (1 medium),Dessert,300.0,4.0,35.0,17.0
257,2026-02-23,Lunch,250,,257,Tuna Melt,Meal/Processed,450.0,25.0,32.0,25.0
258,2026-02-23,Snack,240,,258,Apple Cider (1 cup),Beverage,117.0,0.1,29.0,0.3
259,2026-02-23,Dinner,500,,259,Beef Burrito (large),Meal/Processed,650.0,30.0,70.0,28.0
260,2026-02-23,Dinner,0,,260,Pico de Gallo (1/4 cup),Condiment,15.0,0.5,3.0,0.0
261,2026-02-23,Dinner,0,,261,Corn Tortilla (1 medium),Grain,52.0,1.4,11.2,0.7
262,2026-02-23,Dinner,0,,262,Mussels (3oz steamed),Protein/Seafood,146.0,20.0,6.0,4.0
263,2026-02-23,Dinner,0,,263,White Wine Sauce (1/4 cup),Condiment,80.0,1.0,4.0,6.0
264,2026-02-23,Dinner,0,,264,French Bread (2 slices),Grain,180.0,6.0,36.0,1.0
265,2026-02-23,Snack,0,,265,Blackberries (1 cup),Fruit,62.0,2.0,13.8,0.7
266,2026-02-23,Breakfast,250,,266,Cheese Danish,Dessert,340.0,7.0,38.0,18.0
267,2026-02-23,Lunch,250,,267,Chicken Salad Sandwich,Meal/Processed,420.0,20.0,35.0,20.0
268,2026-02-23,Breakfast,0,,268,Soyrizo (2 oz),Protein/Vegetarian,140.0,10.0,6.0,9.0
269,2026-02-23,Breakfast,0,,269,Hash Browns (1 cup),Vegetable,330.0,3.0,38.0,19.0
270,2026-02-23,Breakfast,0,,270,Ketchup (1 packet),Condiment,10.0,0.1,2.5,0.0
271,2026-02-23,Lunch,500,,271,Philly Cheesesteak (6 inch),Meal/Processed,500.0,25.0,40.0,28.0
272,2026-02-23,Lunch,0,,272,Cheese Whiz (2 tbsp),Condiment/Processed,90.0,4.0,3.0,7.0
273,2026-02-23,Lunch,0,,273,Onions (sautéed 1/4 cup),Vegetable,30.0,0.5,5.0,1.0
274,2026-02-23,Snack,0,,274,Raspberries (1 cup),Fruit,64.0,1.5,14.7,0.8
275,2026-02-23,Breakfast,0,,275,Cheesy Grits (1 cup),Meal/Grain,210.0,6.0,34.0,6.0
276,2026-02-23,Dinner,0,,276,Collard Greens (with ham hock),Vegetable,180.0,10.0,15.0,9.0
277,2026-02-23,Dinner,0,,277,Fried Okra (1 cup),Vegetable,220.0,4.0,25.0,12.0
278,2026-02-23,Lunch,473,,278,Sweet Tea (16 oz),Beverage,180.0,0.0,46.0,0.0
279,2026-02-23,Dinner,250,,279,Gyro (1 sandwich),Meal/Meat,600.0,25.0,55.0,30.0
280,2026-02-23,Dinner,0,,280,Pita Bread (White 1 large),Grain,220.0,7.0,45.0,2.0
281,2026-02-23,Dinner,0,,98,Tzatziki Sauce (2 tbsp),Condiment/Dairy,30.0,1.5,2.0,2.0
282,2026-02-23,Snack,0,,281,Baklava (1 piece),Dessert,280.0,3.0,30.0,18.0
283,2026-02-23,Snack,0,,282,Coconut (shredded 1/4 cup),Fruit,110.0,1.0,4.5,10.5
284,2026-02-23,Snack,0,,283,S'more (1 serving),Dessert,140.0,2.0,25.0,4.0
285,2026-02-23,Snack,0,,284,Graham Cracker (1 large rectangle),Grain/Processed,60.0,1.0,11.0,1.5
286,2026-02-23,Snack,0,,285,Marshmallow (1 large),Dessert,23.0,0.1,5.8,0.0
287,2026-02-23,Snack,0,,286,Chocolate (Hershey's bar 1 segment),Dessert,25.0,0.3,3.0,1.5
288,2026-02-23,Lunch,500,,287,Chicken Parm Sandwich,Meal/Processed,650.0,40.0,55.0,30.0
289,2026-02-23,Lunch,0,,288,Mozzarella (1 slice),Dairy,80.0,6.0,1.0,6.0
290,2026-02-23,Lunch,0,,289,Bread Roll (hoagie),Grain,200.0,6.0,38.0,2.0
291,2026-02-23,Dinner,0,,290,Artichoke (1 medium steamed),Vegetable,60.0,4.2,13.4,0.2
292,2026-02-23,Dinner,0,,291,Mayonnaise (1 tbsp for dipping),Condiment,90.0,0.1,0.1,10.0
293,2026-02-23,Dinner,0,,292,Calamari (fried 3oz),Meal/Seafood,150.0,13.0,8.0,7.0
294,2026-02-23,Dinner,0,,293,Lemon Wedge (for calamari),Condiment,3.0,0.1,1.0,0.0
295,2026-02-23,Snack,355,,294,Root Beer (1 can),Beverage,150.0,0.0,40.0,0.0
296,2026-02-23,Lunch,0,,295,Chicken McNuggets (6 pcs),Meal/Processed,270.0,15.0,16.0,16.0
297,2026-02-23,Lunch,0,,296,BBQ Sauce (2 tbsp),Condiment,60.0,0.5,15.0,0.0
298,2026-02-23,Breakfast,0,,297,Honey (1 tbsp),Condiment,64.0,0.1,17.3,0.0
299,2026-02-23,Breakfast,250,,298,Tofu Scramble,Meal/Vegetarian,250.0,20.0,8.0,16.0
300,2026-02-23,Breakfast,0,,299,Turmeric (1 tsp),Condiment,9.0,0.3,1.9,0.1
301,2026-02-23,Breakfast,0,,300,Nutritional Yeast (1 tbsp),Condiment,20.0,3.0,2.0,0.0
302,2026-02-23,Dinner,0,,301,Seitan (3oz),Protein/Vegetarian,90.0,18.0,4.0,1.0
303,2026-02-23,Dinner,240,,302,Vegetable Broth (1 cup),Beverage,15.0,1.0,3.0,0.0
304,2026-02-23,Dinner,0,,303,Mashed Cauliflower (1 cup),Vegetable,140.0,5.0,12.0,8.0
305,2026-02-23,Dinner,0,,304,Peanut Sauce (2 tbsp),Condiment,80.0,2.0,4.0,6.0
306,2026-02-23,Lunch,0,,305,Tempeh (3oz),Protein/Vegetarian,160.0,16.0,8.0,9.0
307,2026-02-23,Lunch,0,,306,Sauerkraut (1/2 cup),Vegetable,14.0,0.7,3.1,0.1
308,2026-02-23,Lunch,0,,307,Rye Crispbread (2 slices),Grain,70.0,2.0,14.0,0.5
309,2026-02-23,Dinner,0,,308,Capers (1 tbsp),Condiment,2.0,0.2,0.4,0.1
310,2026-02-23,Dinner,0,,309,Chicken Liver (2 oz cooked),Protein/Meat,91.0,13.6,0.6,3.6
311,2026-02-23,Dinner,0,,310,Onion (1/2 cup raw chopped),Vegetable,32.0,0.9,7.5,0.1
312,2026-02-23,Dinner,0,,311,Bok Choy (1 cup steamed),Vegetable,10.0,1.5,2.0,0.1
313,2026-02-23,Snack,0,,312,Gummy Bears (10 pcs),Snack/Dessert,100.0,2.0,22.0,0.0
314,2026-02-23,Snack,0,,313,Whiskey (1.5 oz shot),Beverage,105.0,0.0,0.1,0.0
315,2026-02-23,Snack,0,,314,Dates (2 medium Medjool),Fruit,133.0,0.8,36.0,0.1
316,2026-02-23,Snack,0,,315,Tahini (1 tbsp),Condiment,89.0,2.6,3.2,8.0
317,2026-02-23,Lunch,0,,316,Chickpeas (1/2 cup canned),Legume,135.0,7.0,22.0,2.0
318,2026-02-23,Lunch,0,,317,Lettuce (Romaine 2 cups),Vegetable,16.0,1.0,3.0,0.3
319,2026-02-23,Lunch,0,,318,Italian Dressing (2 tbsp),Condiment,70.0,0.0,3.0,7.0
320,2026-02-23,Breakfast,0,,319,Turkey Sausage (1 patty),Protein/Meat,70.0,9.0,1.0,4.0
321,2026-02-23,Breakfast,0,,320,Maple Syrup (1 tbsp),Condiment,52.0,0.0,13.5,0.0
322,2026-02-23,Lunch,250,,321,Quesadilla (Cheese 1 medium),Meal/Processed,400.0,18.0,35.0,22.0
323,2026-02-23,Lunch,0,,322,Sour Cream (1 tbsp),Condiment/Dairy,30.0,0.4,0.6,2.9
324,2026-02-23,Lunch,0,,323,Salsa (2 tbsp),Condiment,10.0,0.5,2.0,0.0
325,2026-02-23,Dinner,0,,324,Red Cabbage (1 cup raw),Vegetable,22.0,1.1,5.2,0.1
326,2026-02-23,Dinner,0,,325,Duck (3oz roasted),Protein/Meat,285.0,16.0,0.0,24.0
327,2026-02-23,Dinner,0,,326,Orange Sauce (1/4 cup for duck),Condiment,90.0,0.5,22.0,0.0
328,2026-02-23,Dinner,0,,327,Wild Rice (1 cup cooked),Grain,166.0,6.5,35.0,0.6
329,2026-02-23,Snack,0,,328,Cupcake (Vanilla 1 medium),Dessert,240.0,2.0,35.0,11.0
330,2026-02-23,Snack,0,,329,Frosting (Vanilla 2 tbsp),Condiment,140.0,0.0,22.0,6.0
331,2026-02-23,Breakfast,0,,330,Hot Sauce (1 tsp Tabasco),Condiment,0.0,0.0,0.0,0.0
332,2026-02-23,Lunch,250,,331,Bison Burger (1 patty),Protein/Meat,150.0,22.0,0.0,7.0
333,2026-02-23,Lunch,0,,332,Pretzel Bun (1 medium),Grain,230.0,8.0,45.0,2.0
334,2026-02-23,Lunch,0,,333,Spicy Mustard (1 tbsp),Condiment,10.0,0.5,1.0,0.5
335,2026-02-23,Lunch,0,,334,Pasta Salad (1 cup),Meal/Pasta,280.0,8.0,30.0,14.0
336,2026-02-23,Lunch,0,,188,Salami (3 slices),Protein/Processed,110.0,6.0,1.0,9.0
337,2026-02-23,Lunch,0,,335,Pepperoncini (2 peppers),Vegetable,10.0,0.5,2.0,0.0
338,2026-02-23,Dinner,0,,336,Coconut Milk (1/4 cup canned),Condiment,111.0,1.1,2.9,11.6
339,2026-02-23,Dinner,0,,337,Green Curry Paste (1 tbsp),Condiment,30.0,0.5,2.0,2.5
340,2026-02-23,Dinner,0,,338,Chicken Thigh (1 roasted),Protein/Meat,210.0,24.0,0.0,13.0
341,2026-02-23,Dinner,0,,339,Jasmine Rice (1 cup cooked),Grain,205.0,4.3,45.0,0.4
342,2026-02-23,Snack,300,,340,Thai Iced Tea (1 glass),Beverage,250.0,3.0,35.0,12.0
343,2026-02-23,Snack,0,,341,Papaya (1 cup cubes),Fruit,62.0,0.6,15.7,0.4
344,2026-02-23,Snack,0,,342,Lime Juice (1 tbsp),Condiment,4.0,0.1,1.3,0.0
345,2026-02-23,Lunch,0,,343,Macaroni Salad (1 cup),Meal/Pasta,380.0,8.0,30.0,25.0
346,2026-02-23,Lunch,0,,344,Celery (1 stalk),Vegetable,6.0,0.3,1.2,0.1
347,2026-02-23,Snack,0,,345,Blue Cheese (1 oz),Dairy,100.0,6.0,0.7,8.0
348,2026-02-23,Snack,0,,346,Dark Chocolate (1 oz 70%),Dessert,170.0,2.2,13.0,12.0
349,2026-02-23,Breakfast,250,,347,Acai Bowl (1 serving),Meal/Fruit,350.0,5.0,60.0,12.0
350,2026-02-23,Breakfast,0,,348,Granola (1/4 cup topping),Grain,120.0,3.0,15.0,6.0
351,2026-02-23,Breakfast,0,,349,Coconut Flakes (1 tbsp topping),Fruit,35.0,0.3,1.5,3.3
352,2026-02-23,Breakfast,0,,350,Honey (1 tsp drizzle),Condiment,21.0,0.0,5.8,0.0
353,2026-02-23,Snack,0,,351,Shrimp Cocktail (4 large shrimp),Protein/Seafood,60.0,10.0,1.0,1.0
354,2026-02-23,Snack,0,,352,Cocktail Sauce (2 tbsp),Condiment,30.0,0.5,7.0,0.0
355,2026-02-23,Lunch,0,,353,Pork Bun (1 steamed),Meal/Processed,220.0,8.0,30.0,8.0
356,2026-02-23,Lunch,0,,354,Dim Sum (Siu Mai 3 pcs),Meal/Processed,180.0,12.0,10.0,10.0
357,2026-02-23,Lunch,0,,355,Soy Sauce (1 tbsp for dipping),Condiment,9.0,1.0,1.0,0.0
358,2026-02-23,Dinner,0,,356,Oyster (1 medium raw),Protein/Seafood,8.0,1.0,0.5,0.2
359,2026-02-23,Dinner,0,,357,Mignonette Sauce (1 tbsp),Condiment,5.0,0.0,1.0,0.0
360,2026-02-23,Dinner,500,,358,Beef Pho (1 large bowl),Meal/Soup,450.0,30.0,55.0,12.0
361,2026-02-23,Dinner,0,,359,Bean Sprouts (1/4 cup garnish),Vegetable,8.0,0.8,1.5,0.1
362,2026-02-23,Dinner,0,,360,Thai Basil (garnish),Condiment,1.0,0.1,0.0,0.0
363,2026-02-23,Dinner,0,,361,Lime Wedge (garnish),Condiment,3.0,0.1,1.0,0.0
364,2026-02-23,Dinner,0,,362,Jalapeno (1 tbsp sliced),Vegetable,4.0,0.1,0.8,0.1
365,2026-02-23,Dinner,0,,363,Hoisin Sauce (1 tbsp),Condiment,35.0,0.3,8.0,0.2
366,2026-02-23,Dinner,0,,364,Sriracha (1 tsp),Condiment,5.0,0.1,1.0,0.1
367,2026-02-23,Breakfast,0,,365,Crepe (1 plain),Grain,90.0,3.5,14.0,2.0
368,2026-02-23,Breakfast,0,,366,Nutella (1 tbsp),Condiment,100.0,1.5,11.0,6.0
369,2026-02-23,Breakfast,0,,367,Powdered Sugar (1 tsp),Condiment,10.0,0.0,2.5,0.0
370,2026-02-23,Dinner,0,,368,Sake (3 oz),Beverage,117.0,0.4,3.8,0.0
371,2026-02-23,Snack,250,,369,Edamame (in pod 1 cup),Legume,120.0,11.0,9.0,5.0
372,2026-02-23,Snack,0,,370,Sea Salt (coarse 1/4 tsp),Condiment,0.0,0.0,0.0,0.0
373,2026-02-23,Dinner,0,,371,Biryani (Chicken 1.5 cups),Meal/Meat,520.0,28.0,60.0,18.0
374,2026-02-23,Dinner,0,,372,Raita (2 tbsp),Condiment/Dairy,30.0,1.0,2.0,2.0
375,2026-02-23,Snack,240,,373,Lassi (Mango 1 cup),Beverage,180.0,5.0,30.0,4.0
376,2026-02-23,Snack,0,,374,Samosa (1 piece vegetable),Snack/Processed,130.0,2.0,18.0,6.0
377,2026-02-23,Snack,0,,375,Tamarind Chutney (1 tbsp),Condiment,20.0,0.1,5.0,0.0
378,2026-02-23,Snack,0,,376,Mint Chutney (1 tbsp),Condiment,5.0,0.2,0.5,0.0
379,2026-02-23,Snack,0,,377,Pani Puri (6 pcs),Snack/Processed,200.0,4.0,35.0,5.0
380,2026-02-23,Snack,0,,378,Passion Fruit (1 fruit),Fruit,17.0,0.4,4.2,0.1
381,2026-02-23,Dinner,500,,379,Kimchi Jjigae (1 bowl),Meal/Soup,350.0,15.0,20.0,22.0
382,2026-02-23,Dinner,0,,380,Silken Tofu (3oz in soup),Protein/Vegetarian,45.0,5.0,2.0,2.5
383,2026-02-23,Dinner,0,,381,Pork Belly (1 oz in soup),Protein/Meat,145.0,3.0,0.0,15.0
384,2026-02-23,Dinner,0,,382,Gochugaru (1 tsp),Condiment,10.0,0.3,1.8,0.3
385,2026-02-23,Dinner,0,,383,Gochujang (1 tbsp),Condiment,30.0,0.5,6.0,0.0
386,2026-02-23,Dinner,0,,384,Sesame Oil (1 tsp),Condiment,40.0,0.0,0.0,4.5
387,2026-02-23,Dinner,0,,385,Fish Sauce (1 tsp),Condiment,5.0,0.4,0.5,0.0
388,2026-02-23,Dinner,0,,386,Green Onion (1 tbsp garnish),Vegetable,3.0,0.2,0.7,0.0
389,2026-02-23,Snack,473,,387,Kombucha (16 oz),Beverage,60.0,0.0,14.0,0.0
390,2026-02-23,Dinner,0,,388,Beef Wellington (1 slice),Meal/Meat,600.0,30.0,35.0,38.0
391,2026-02-23,Dinner,0,,389,Pate (Mushroom 2 tbsp),Condiment,70.0,1.0,2.0,7.0
392,2026-02-23,Dinner,0,,390,Puff Pastry (1 oz wrapper),Grain,115.0,1.5,9.0,8.0
393,2026-02-23,Dinner,0,,391,Prosciutto (1 slice),Protein/Meat,35.0,4.0,0.0,2.5
394,2026-02-23,Dinner,0,,392,Asparagus (6 spears roasted),Vegetable,40.0,4.0,4.0,2.0
395,2026-02-23,Dinner,0,,393,Hollandaise Sauce (1 tbsp),Condiment,55.0,0.5,0.2,6.0
396,2026-02-23,Snack,0,,394,Flan (1 slice),Dessert,220.0,6.0,35.0,7.0
397,2026-02-23,Snack,0,,395,Caramel Sauce (1 tbsp),Condiment,60.0,0.0,13.0,1.0
398,2026-02-23,Breakfast,0,,396,Congee (1 cup plain),Meal/Grain,130.0,2.5,28.0,1.0
399,2026-02-23,Breakfast,0,,397,Pickled Radish (1/4 cup),Vegetable,15.0,0.5,3.0,0.0
400,2026-02-23,Breakfast,0,,398,Pork Floss (1 tbsp),Protein/Meat,50.0,4.0,3.0,2.0
401,2026-02-23,Breakfast,0,,399,Century Egg (1 egg),Protein,100.0,7.0,1.0,7.0
402,2026-02-23,Lunch,0,,400,Arugula (2 cups),Vegetable,10.0,1.0,0.8,0.2
403,2026-02-23,Lunch,0,,401,Goat Cheese (1 oz),Dairy,103.0,6.1,0.1,8.5
404,2026-02-23,Lunch,0,,402,Beets (1/2 cup roasted),Vegetable,30.0,0.8,6.8,0.1
405,2026-02-23,Lunch,0,,403,Walnuts (1 tbsp chopped),Nut,46.0,1.1,1.0,4.6
406,2026-02-23,Lunch,0,,404,Balsamic Glaze (1 tbsp),Condiment,40.0,0.0,9.0,0.0
407,2026-02-23,Dinner,0,,405,Bobotie (1 serving),Meal/Meat,450.0,25.0,30.0,25.0
408,2026-02-23,Dinner,0,,406,Yellow Rice (1 cup),Grain,230.0,4.0,50.0,1.0
409,2026-02-23,Dinner,0,,407,Chutney (Mango 1 tbsp),Condiment,45.0,0.1,11.0,0.1
410,2026-02-23,Snack,0,,408,Malva Pudding (1 slice),Dessert,380.0,5.0,60.0,14.0
411,2026-02-23,Snack,0,,409,Custard (1/4 cup),Condiment,80.0,3.0,10.0,3.0
412,2026-02-23,Snack,473,,410,Bubble Tea (16 oz milk tea),Beverage,320.0,2.0,70.0,4.0
413,2026-02-23,Snack,0,,411,Tapioca Pearls (1/4 cup boba),Condiment,100.0,0.0,25.0,0.0
414,2026-02-23,Dinner,0,,412,Paella (1.5 cups seafood),Meal/Rice,550.0,30.0,70.0,18.0
415,2026-02-23,Dinner,0,,413,Chorizo (1 oz in paella),Protein/Meat,130.0,6.0,1.0,11.0
416,2026-02-23,Dinner,0,,414,Saffron (pinch),Condiment,1.0,0.0,0.1,0.0
417,2026-02-23,Dinner,0,,415,Aioli (Garlic 1 tbsp),Condiment,95.0,0.1,0.5,10.5
418,2026-02-23,Lunch,240,,416,Gazpacho (1 cup),Meal/Soup,90.0,2.0,12.0,4.0
419,2026-02-23,Lunch,0,,417,Croutons (Garlic 1/4 cup),Grain,50.0,1.5,7.0,2.0
420,2026-02-23,Lunch,0,,418,Olive Oil (1 tsp garnish),Condiment,40.0,0.0,0.0,4.5
421,2026-02-23,Snack,0,,419,Churros (2 sticks),Dessert,240.0,3.0,30.0,12.0
422,2026-02-23,Snack,0,,420,Chocolate Sauce (1 tbsp dipping),Condiment,50.0,0.5,10.0,1.5
423,2026-02-23,Snack,0,,421,Cinnamon Sugar (1 tsp),Condiment,20.0,0.0,5.0,0.0
424,2026-02-23,Snack,240,,422,Horchata (1 cup),Beverage,140.0,2.0,25.0,3.0
425,2026-02-23,Lunch,0,,423,Ceviche (1 cup fish),Meal/Fish,180.0,25.0,15.0,2.0
426,2026-02-23,Lunch,0,,424,Red Onion (1/4 cup in ceviche),Vegetable,16.0,0.3,3.7,0.0
427,2026-02-23,Lunch,0,,425,Cilantro (2 tbsp garnish),Condiment,1.0,0.1,0.0,0.0
428,2026-02-23,Snack,0,,426,Corn Nuts (1 oz),Snack/Processed,130.0,2.0,23.0,4.0
429,2026-02-23,Dinner,0,,427,Lomo Saltado (1.5 cups),Meal/Meat,500.0,35.0,45.0,22.0
430,2026-02-23,Dinner,0,,428,French Fries (as side),Vegetable/Processed,200.0,2.0,25.0,10.0
431,2026-02-23,Dinner,0,,429,Soy Sauce (1 tbsp in stir-fry),Condiment,9.0,1.0,1.0,0.0
432,2026-02-23,Dinner,0,,430,Aji Amarillo Paste (1 tsp),Condiment,5.0,0.1,1.0,0.0
433,2026-02-23,Snack,180,,431,Pisco Sour (1 drink),Beverage,250.0,1.0,25.0,0.0
434,2026-02-23,Snack,0,,432,Egg White (in drink),Condiment,17.0,3.6,0.2,0.0
435,2026-02-23,Snack,0,,433,Angostura Bitters (dash),Condiment,5.0,0.0,0.0,0.0
436,2026-02-23,Snack,0,,434,Alfajores (1 cookie),Dessert,180.0,2.0,22.0,10.0
437,2026-02-23,Snack,0,,435,Dulce de Leche (1 tbsp filling),Condiment,65.0,1.0,12.0,1.5
438,2026-02-23,Snack,0,,436,Coconut (shredded garnish),Fruit,10.0,0.1,0.5,1.0
439,2026-02-23,Breakfast,240,,437,Mate (1 cup),Beverage,5.0,0.2,1.0,0.0
440,2026-02-23,Breakfast,0,,438,Media Luna (1 pastry),Grain,190.0,4.0,25.0,8.0
441,2026-02-23,Dinner,0,,439,Chimichurri (1 tbsp),Condiment,45.0,0.1,0.5,4.5
442,2026-02-23,Dinner,0,,440,Skirt Steak (4oz grilled),Protein/Meat,240.0,26.0,0.0,15.0
443,2026-02-23,Dinner,0,,441,Provoleta (1 oz grilled cheese),Dairy,100.0,7.0,1.0,8.0
444,2026-02-23,Dinner,0,,442,Oregano (1 tsp),Condiment,3.0,0.1,0.7,0.0
445,2026-02-23,Lunch,0,,443,Empanada (Beef 1 medium),Meal/Processed,290.0,10.0,28.0,16.0
446,2026-02-23,Dinner,0,,444,Chicken Milanesa (1 serving),Meal/Meat,450.0,35.0,30.0,22.0
447,2026-02-23,Dinner,0,,445,Mashed Potatoes (side),Vegetable,150.0,3.0,25.0,4.0
448,2026-02-23,Lunch,250,,446,Choripan (1 sandwich),Meal/Processed,550.0,20.0,40.0,35.0
449,2026-02-23,Lunch,0,,447,Baguette (slice),Grain,70.0,2.5,14.0,0.5
450,2026-02-23,Lunch,0,,439,Chimichurri (1 tbsp),Condiment,45.0,0.1,0.5,4.5
451,2026-02-23,Dinner,250,,448,Pizza (Margherita 1 slice),Meal/Processed,250.0,12.0,30.0,10.0
452,2026-02-23,Dinner,0,,449,Fresh Mozzarella (1 oz),Dairy,72.0,5.0,0.8,5.0
453,2026-02-23,Dinner,0,,450,Basil (2 tbsp fresh),Condiment,1.0,0.1,0.1,0.0
454,2026-02-23,Dinner,0,,451,Carbonara (1.5 cups),Meal/Pasta,650.0,25.0,60.0,35.0
455,2026-02-23,Dinner,0,,452,Guanciale (1 oz),Protein/Meat,170.0,3.0,0.0,18.0
456,2026-02-23,Dinner,0,,453,Pecorino Cheese (1 tbsp),Dairy,25.0,1.5,0.1,2.0
457,2026-02-23,Dinner,0,,454,Black Pepper (1/4 tsp),Condiment,1.0,0.0,0.2,0.0
458,2026-02-23,Dinner,0,,455,Egg Yolk (1 large in sauce),Protein,55.0,2.7,0.6,4.5
459,2026-02-23,Snack,0,,456,Supplì (1 piece fried rice ball),Snack/Processed,200.0,8.0,25.0,8.0
460,2026-02-23,Snack,150,,457,Aperol Spritz (1 drink),Beverage,180.0,0.0,20.0,0.0
461,2026-02-23,Snack,0,,458,Prosecco (3 oz),Beverage,70.0,0.0,2.0,0.0
462,2026-02-23,Snack,0,,459,Club Soda (2 oz),Beverage,0.0,0.0,0.0,0.0
463,2026-02-23,Snack,0,,460,Orange Slice (garnish),Fruit,5.0,0.1,1.0,0.0
464,2026-02-23,Dinner,500,,461,Tagliatelle al Ragù (Bolognese),Meal/Pasta,550.0,28.0,65.0,20.0
465,2026-02-23,Dinner,0,,462,Ground Beef (2 oz in sauce),Protein/Meat,140.0,11.0,0.0,10.0
466,2026-02-23,Dinner,0,,463,Pancetta (0.5 oz in sauce),Protein/Meat,45.0,1.5,0.0,4.5
467,2026-02-23,Dinner,0,,464,Carrot (1/4 minced in sauce),Vegetable,10.0,0.2,2.4,0.1
468,2026-02-23,Dinner,0,,465,Celery (1/4 stalk minced),Vegetable,2.0,0.1,0.4,0.0
469,2026-02-23,Dinner,0,,466,Onion (1/8 minced in sauce),Vegetable,5.0,0.1,1.2,0.0
470,2026-02-23,Dinner,0,,467,Crushed Tomatoes (1/2 cup sauce),Vegetable,20.0,1.0,4.0,0.0
471,2026-02-23,Dinner,0,,468,Parmigiano-Reggiano (1 tbsp),Dairy,22.0,2.0,0.2,1.5
472,2026-02-23,Snack,0,,469,Cannoli (1 medium),Dessert,240.0,5.0,25.0,13.0
473,2026-02-23,Snack,0,,470,Ricotta (filling 1 oz),Dairy,49.0,3.2,0.8,3.8
474,2026-02-23,Snack,0,,471,Pistachio (garnish),Nut,10.0,0.4,0.5,0.8
475,2026-02-23,Snack,0,,472,Biscotti (1 cookie),Dessert,110.0,2.0,18.0,4.0
476,2026-02-23,Snack,30,,473,Espresso (for dipping),Beverage,2.0,0.2,0.0,0.0
477,2026-02-23,Lunch,0,,474,Focaccia (1 square),Grain,250.0,8.0,40.0,7.0
478,2026-02-23,Lunch,0,,475,Rosemary (1 tsp topping),Condiment,1.0,0.0,0.2,0.0
479,2026-02-23,Lunch,0,,476,Coarse Salt (garnish),Condiment,0.0,0.0,0.0,0.0
480,2026-02-23,Lunch,0,,477,Olive Oil (1 tbsp drizzle),Condiment,120.0,0.0,0.0,14.0
481,2026-02-23,Snack,0,,478,Bruschetta (2 pcs),Snack/Appetizer,180.0,4.0,25.0,7.0
482,2026-02-23,Snack,0,,479,Balsamic Glaze (1 tsp),Condiment,13.0,0.0,3.0,0.0
483,2026-02-23,Dinner,500,,480,Ribollita (1.5 cups soup),Meal/Soup,350.0,15.0,55.0,8.0
484,2026-02-23,Dinner,0,,481,Cannellini Beans (1/2 cup in soup),Legume,105.0,7.0,20.0,0.5
485,2026-02-23,Dinner,0,,482,Kale (1 cup in soup),Vegetable,33.0,2.9,6.0,0.6
486,2026-02-23,Dinner,0,,483,Stale Bread (1/2 cup in soup),Grain,80.0,3.0,15.0,1.0
487,2026-02-23,Dinner,0,,484,Polenta (1 cup creamy),Meal/Grain,150.0,3.0,32.0,1.0
488,2026-02-23,Dinner,0,,485,Gorgonzola Cheese (1 oz),Dairy,100.0,6.0,0.7,8.0
489,2026-02-23,Snack,90,,486,Negroni (1 drink),Beverage,190.0,0.0,15.0,0.0
490,2026-02-23,Snack,0,,487,Gin (1 oz),Beverage,70.0,0.0,0.0,0.0
491,2026-02-23,Snack,0,,488,Campari (1 oz),Beverage,80.0,0.0,10.0,0.0
492,2026-02-23,Snack,0,,489,Sweet Vermouth (1 oz),Beverage,40.0,0.0,5.0,0.0
493,2026-02-23,Snack,0,,490,Orange Peel (garnish),Condiment,1.0,0.0,0.2,0.0
494,2026-02-23,Dinner,0,,491,Osso Buco (1 serving),Meal/Meat,550.0,45.0,15.0,30.0
495,2026-02-23,Dinner,0,,492,Gremolata (1 tbsp),Condiment,15.0,0.5,1.0,1.0
496,2026-02-23,Dinner,0,,493,Risotto alla Milanese (1 cup),Meal/Rice,350.0,10.0,50.0,12.0
497,2026-02-23,Dinner,0,,494,Saffron (pinch in risotto),Condiment,1.0,0.0,0.1,0.0
498,2026-02-23,Snack,0,,495,Panettone (1 slice),Dessert,320.0,6.0,50.0,12.0
499,2026-02-23,Snack,0,,496,Candied Fruit (1 tbsp),Fruit,30.0,0.0,8.0,0.0
500,2026-02-23,Snack,0,,497,Amaretti Cookie (2 cookies),Dessert,90.0,2.0,12.0,4.0
501,2026-02-23,Snack,0,,498,Limoncello (1.5 oz shot),Beverage,150.0,0.0,18.0,0.0
502,2026-02-23,Snack,0,,499,Panna Cotta (1 serving),Dessert,300.0,4.0,25.0,20.0
503,2026-02-23,Snack,0,,500,Berry Coulis (1 tbsp),Condiment,20.0,0.0,5.0,0.0
504,2026-02-23,Dinner,0,,501,Saltimbocca (1 serving),Meal/Meat,380.0,38.0,5.0,22.0
505,2026-02-23,Dinner,0,,502,Prosciutto (1 slice wrapper),Protein/Meat,35.0,4.0,0.0,2.5
506,2026-02-23,Dinner,0,,503,Sage (2 leaves),Condiment,1.0,0.0,0.1,0.0
507,2026-02-23,Dinner,0,,504,Polenta (grilled 1 slice),Meal/Grain,120.0,2.5,25.0,1.0
